Borough,Name,Total Households,Avg Household Size,Avg Family Size,Boro CD
Staten Island,Charleston-Richmond Valley-Tottenville,"7,796",2.86,3.40,503
Staten Island,Mariner's Harbor-Arlington-Port Ivory-Graniteville,"10,060",3.12,3.61,501
Staten Island,Grasmere-Arrochar-Ft. Wadsworth,"5,836",2.72,3.28,502
Staten Island,West New Brighton-New Brighton-St. George,"12,026",2.74,3.49,501
Staten Island,Todt Hill-Emersn Hill-Heartland Villg-Lighthse Hill,"11,284",2.66,3.22,502
Staten Island,Oakwood-Oakwood Beach,"8,313",2.65,3.17,503
Staten Island,Port Richmond,"6,472",3.10,3.64,501
Staten Island,Rossville-Woodrow,"7,269",2.85,3.36,503
Staten Island,New Brighton-Silver Lake,"6,242",2.71,3.35,501
Staten Island,Old Town-Dongan Hills-South Beach,"9,034",2.66,3.24,502
Staten Island,Stapleton-Rosebank,"8,976",2.86,3.55,501
Staten Island,New Dorp-Midland Beach,"8,097",2.70,3.25,502
Staten Island,Arden Heights,"8,793",2.87,3.32,503
Staten Island,Great Kills,"15,011",2.71,3.21,595
Staten Island,park-cemetery-etc-Staten Island,0,-,-,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
